first,last,age,state,weight
Earl,Myrick,36,Iowa,208.0
Vikki,Gallegos,31,Iowa,187.0
Elizabeth,Binegar,15,Nebraska,
Edwina,Garcia,53,Arizona,170.0
Thomas,Hinkle,2,Georgia,
Martha,Hudgins,31,Utah,227.0
Danny,Wilson,55,Iowa,205.0
Beverly,Skinner,67,Missouri,233.0
Martha,Brown,2,Illinois,
Ofelia,Williams,82,New Mexico,192.0
Christina,Jiggetts,15,New Jersey,
Barbara,Sale,35,Virginia,170.0
Anita,Everhardt,46,Oregon,157.0
Clinton,Turner,66,Georgia,208.0
Judy,Gramm,51,West Virginia,217.0
William,Mccormick,51,Iowa,148.0
Louise,Magana,19,Virginia,174.0
John,Rosales,55,Minnesota,165.0
Christine,Ware,32,Washington,191.0
Raymond,Poole,2,Illinois,
Lois,Ford,29,Vermont,189.0
Joyce,Sites,64,Texas,211.0
Dan,Stone,40,Arizona,193.0
Rosie,Doe,52,New York,222.0
Lincoln,Bogart,12,New York,
Jo,Guevara,5,Alabama,
James,Williams,55,Virginia,208.0
Linda,Stiles,4,Kentucky,
Henry,Silmon,77,Oregon,227.0
Emma,Mcdonald,7,Kentucky,
Shawn,Anzalone,82,Colorado,243.0
Thomas,Ford,89,Indiana,142.0
Barbara,Sam,5,Pennsylvania,
Kitty,Ford,38,Texas,211.0
Thomas,Brustmann,77,North Dakota,174.0
James,Kendall,3,Connecticut,
Edward,Barbe,56,New Jersey,207.0
Holly,Britten,70,Delaware,195.0
Nick,Kittleson,58,West Virginia,239.0
Edward,Bradfield,52,Michigan,155.0
Gloria,Boykin,20,Massachusetts,176.0
Richard,Cantu,44,Oklahoma,184.0
Olivia,Watts,34,Arizona,166.0
James,Almanza,61,Alaska,211.0
William,Campbell,83,Maine,226.0
Stella,Hensley,33,Georgia,182.0
Abigail,Sikorski,31,Idaho,180.0
Terrance,Bristol,42,New Jersey,179.0
Bryant,Watson,90,Maryland,172.0
Danny,Boatwright,70,Arkansas,240.0
Jennifer,Marien,30,Mississippi,176.0
Daryl,Mack,82,New Mexico,164.0
Jessica,Pharmer,10,Utah,
Andre,Hart,6,Delaware,
Bette,Goe,65,Tennessee,150.0
Evelyn,Pham,7,Massachusetts,
Beatrice,Bailey,20,Louisiana,229.0
Margaret,Rose,15,Michigan,
Lewis,Barraza,22,Wisconsin,242.0
Amy,Cates,52,New Mexico,216.0
Bethany,Blanton,51,Maryland,211.0
Carlos,Guy,42,Texas,224.0
Richard,Rutledge,3,Mississippi,
Dawn,Reyes,48,South Carolina,222.0
Ethel,Mckay,69,Tennessee,229.0
Arthur,Miller,87,Kentucky,168.0
Rosemary,Cox,44,California,231.0
Doris,Issacs,70,Nevada,196.0
Douglas,Thrash,14,West Virginia,
Louise,Hyden,16,Utah,
Patsy,Willie,48,Indiana,215.0
Mattie,Byrd,2,Missouri,
Curtis,Sparks,56,Colorado,186.0
George,Rowell,69,New Hampshire,199.0
Jenni,Donahue,77,Florida,207.0
Herbert,Tellis,73,Vermont,190.0
Ramiro,Swanson,33,California,143.0
Dianne,Mara,48,Arizona,146.0
Curtis,Woodson,66,Kentucky,168.0
Allison,Rodriguez,40,New Jersey,233.0
Julie,Kain,48,Florida,198.0
Carole,Davis,67,West Virginia,237.0
Janie,Ardrey,16,Maine,
John,Arbogast,22,Massachusetts,209.0
Mary,Bradley,15,Missouri,
John,Leblanc,89,Arkansas,151.0
Barbara,Kirklin,56,South Dakota,203.0
Glenda,Middleton,33,South Dakota,161.0
David,Alfonso,28,Virginia,235.0
Mary,Pruitt,76,Wyoming,179.0
Lorraine,Thompson,78,Arkansas,229.0
Dallas,Conrad,22,Arizona,164.0
Samantha,Rice,35,New York,190.0
Anthony,Lott,13,South Carolina,
Michael,Mestler,84,New Hampshire,239.0
Bobby,Smith,59,Utah,157.0
Marcos,Mcmahon,57,New Jersey,184.0
Diana,Coonrod,69,Florida,147.0
Adam,Israel,80,Vermont,167.0
Alice,Garcia,46,Alaska,224.0
Thomas,Banchero,13,Connecticut,
Alice,Smith,90,Wyoming,218.0
Shaun,Elie,46,Tennessee,179.0
Thomas,Andrews,60,Minnesota,164.0
Julia,Wilbanks,86,Alabama,209.0
Jane,George,92,Alaska,207.0
Novella,Costanzo,83,Pennsylvania,152.0
Wayne,Gonzales,90,Arizona,201.0
Andrea,Hines,51,Colorado,187.0
Miranda,Mclamb,64,West Virginia,210.0
Guy,Upson,57,Michigan,164.0
Marie,Ferrell,44,Illinois,148.0
Lyndsay,Rollins,51,Maryland,181.0
Scott,Sheets,79,New Jersey,184.0
Desiree,Cesena,31,Iowa,221.0
Steve,Beasley,49,Virginia,238.0
Kala,Boynton,52,Kentucky,206.0
John,Dejulio,70,Washington,209.0
Michael,Thompson,53,Kentucky,141.0
Patricia,Trammel,48,Maine,199.0
Vickey,Tharpe,6,Arkansas,
Jessica,Maloch,38,Vermont,211.0
Karen,Mcfarland,50,South Dakota,227.0
Annie,Comnick,34,Idaho,224.0
Eddie,Heath,12,Wyoming,
Brian,Mikrot,58,Maine,213.0
Son,Mcgranahan,77,Louisiana,179.0
Phillip,Wallace,74,Maryland,224.0
Martin,Caywood,89,Ohio,161.0
Oscar,Chrostowski,43,Oklahoma,229.0
Toby,Camano,25,North Dakota,140.0
Richard,Harris,64,South Carolina,231.0
Garrett,Cheng,38,New Hampshire,157.0
John,Patterson,57,Kentucky,209.0
Edith,Thompson,22,Louisiana,217.0
Susan,Hedrington,27,Idaho,233.0
Linda,Marquez,6,Pennsylvania,
Claude,Corey,54,Florida,190.0
Michael,Mathis,54,New Mexico,239.0
Scott,Edmundson,47,South Dakota,230.0
Herman,Groulx,55,Washington,228.0
Joan,Villalobas,93,Vermont,186.0
Yolanda,Walker,70,Illinois,194.0
Kimberly,Hall,63,Delaware,207.0
Ann,Green,64,Wyoming,140.0
Toni,Hutson,61,Illinois,144.0
James,Kent,26,Missouri,147.0
Jeanne,Perez,86,Nebraska,223.0
Allison,Waithe,9,Montana,
Christina,Howell,26,North Dakota,169.0
Evelyn,Bowles,85,Texas,238.0
James,Osorno,34,Idaho,191.0
Agnes,Brimage,15,North Dakota,
Carroll,Hill,11,Kansas,
Archie,Madden,55,Florida,212.0
Gustavo,Peralta,31,Ohio,241.0
Michelle,Smithson,84,New Mexico,237.0
Catherine,Robinson,45,Wisconsin,141.0
Angela,Jones,25,California,170.0
William,Mullins,92,Montana,216.0
Jerry,Torres,4,Mississippi,
Ellen,Knox,19,Pennsylvania,200.0
Albert,Moyer,74,Montana,156.0
Bruce,Estes,82,Idaho,159.0
Imogene,Wohlenhaus,68,Oklahoma,160.0
Eric,Dulle,75,Utah,188.0
Tracy,Costley,40,Louisiana,179.0
Roy,Patterson,39,Wisconsin,201.0
Rodney,Amelung,71,Pennsylvania,194.0
Bradley,Clark,82,Oklahoma,190.0
Denise,Walther,13,Nevada,
Alvin,Stavrositu,74,Oregon,238.0
Michael,Kemp,21,New York,145.0
Carl,Betz,12,New Jersey,
Tiffany,Jenkins,12,Iowa,
Charles,Thiele,40,Iowa,222.0
Curtis,Jamison,6,Utah,
Letha,Hodges,17,California,
Charles,Grace,79,Idaho,189.0
Blanca,Rodriguez,3,Alabama,
Kathy,Hays,41,Rhode Island,190.0
Ethel,Jackson,90,New Hampshire,186.0
Susan,Osborne,80,Wisconsin,147.0
Mildred,White,49,Delaware,186.0
Jacqueline,Tso,18,Ohio,
Frank,Clark,35,Wisconsin,199.0
Ann,Shaefer,30,Nevada,168.0
Janet,Long,23,West Virginia,202.0
Wendy,Reese,61,Wyoming,147.0
Judy,Curtis,83,Arkansas,180.0
Jordan,Mckinney,70,Louisiana,140.0
Sammie,Weber,11,Michigan,
Veronica,Doughty,93,Rhode Island,146.0
Laura,Stoner,37,Florida,210.0
Charlotte,Steiner,92,Alabama,147.0
Sherwood,Norman,64,Maryland,221.0
David,Shannon,57,California,242.0
Clinton,Pena,60,Connecticut,188.0
Robert,Pierce,92,Arizona,239.0
Robert,Bolen,20,Vermont,200.0
Rachel,Sanchez,52,Wisconsin,174.0
Tamara,Brown,57,Vermont,152.0
Michael,Alexander,57,New Jersey,198.0
Travis,Meader,39,Indiana,184.0
Hester,Sales,92,Florida,235.0
Jesse,Miller,50,Iowa,179.0
Roseann,Mcilhinney,78,Wyoming,235.0
Vanessa,Gorman,71,Virginia,173.0
Glenna,Magee,81,Kansas,204.0
Laura,Toole,59,Wisconsin,213.0
Matthew,Privitera,20,New Hampshire,166.0
Devon,Stahl,55,New Jersey,146.0
Wayne,Brundage,90,Missouri,188.0
Robert,Smith,21,North Carolina,241.0
Trista,Martinez,83,Vermont,157.0
Lori,Mccammon,36,Wisconsin,229.0
Alison,Johnson,86,South Dakota,236.0
Brenda,Serrano,22,Indiana,175.0
Lucie,Button,26,Connecticut,176.0
Michael,Caudill,76,Maine,199.0
Yesenia,Rollins,59,Louisiana,194.0
Howard,Sanchez,25,Massachusetts,214.0
Michelle,Shaffer,30,Maryland,146.0
Melissa,Sanchez,18,South Carolina,
Anthony,Miles,83,Montana,212.0
Devin,Mayes,40,Alaska,146.0
Elizabeth,Lewis,93,Kentucky,182.0
Thomas,Cornell,8,Vermont,
Susan,Sheehan,68,South Dakota,231.0
Janet,Gregson,29,Iowa,156.0
Deon,Moses,9,Louisiana,
Bill,Goldsmith,43,New York,205.0
Tanya,Bolton,3,Ohio,
Zachary,Brown,26,Texas,242.0
Allan,Weinzierl,15,Michigan,
Marilyn,Brown,77,Nebraska,177.0
Lisa,Jackson,60,New Hampshire,230.0
David,Salmon,71,Hawaii,199.0
Gregory,Miller,38,Florida,227.0
Clifford,Henkel,81,New Mexico,225.0
Heriberto,Washam,81,Utah,239.0
Jonathan,Bermudez,57,Mississippi,156.0
Debra,Barrera,13,Oregon,
